bin_index,dist_center_m,var_d_m2,var_theta_rad2,count
7,0.75,1.2488842399999977e-06,2.0615335999999964e-07,10
8,0.8500000000000001,0.019898051924031688,1.1824740090538704e-06,47
9,0.9500000000000001,0.03368029371015123,1.9497465482041587e-06,23
10,1.05,0.02561164115008591,0.0020311487535110647,174
11,1.1500000000000001,0.026168019498161988,9.30285172391493e-05,144
12,1.25,0.019689279095840964,0.0012488963283986327,58
13,1.35,0.09981469478999609,8.853612875e-05,16
14,1.4500000000000002,0.0035894253536093742,1.4777107109375002e-05,16
15,1.55,0.0777992454555017,7.70822231207483e-05,42
16,1.6500000000000001,0.019730542047488458,0.0012027449778362381,94
17,1.75,0.00011755504012109378,6.27635240625e-05,16
18,1.85,0.00021787124293432764,0.01236546065250526,186
19,1.9500000000000002,0.0007297984244400004,5.9956156e-07,10
20,2.0500000000000003,0.0029363971585975165,0.04337734012825511,74
21,2.15,0.0014253531006938776,0.0021476529667755102,14
22,2.25,0.0017106921418541666,0.0011064158821875,12
23,2.35,0.001626660731662222,0.0009750378143822221,15
24,2.45,0.005430621571918367,0.0008814648478639455,21
25,2.5500000000000003,4.480410584000002e-05,5.2189429840000004e-05,10
26,2.6500000000000004,0.0012485235088593749,0.000359316632,16
27,2.75,1.11195167875949,5.94216000244e-05,50
28,2.85,1.1875305929646405,9.30028595956e-05,50
29,2.95,0.2010951656936096,0.00018543980228960001,50
30,3.0500000000000003,0.7044288617228162,0.0006477155232653062,14
31,3.1500000000000004,0.582854342895571,0.001750497415867284,18
32,3.25,1.1155354483723712,0.0010517139981835936,16
33,3.35,0.003051651837867769,0.0003497278849752066,11
34,3.45,0.0023346450073610586,0.0003101486591568998,23
35,3.5500000000000003,0.0006120166912499999,0.00014648575248437499,8
36,3.6500000000000004,0.6444540521693161,0.0002773544454979339,22
37,3.75,0.0013746759064540816,6.176421125e-05,14
38,3.85,1.0456255920397806,0.00015489081483673468,14
39,3.95,0.002868543587739796,0.0001445346900255102,14
40,4.05,0.0025311408404630176,9.438965232100591e-05,26
41,4.15,0.001286072295157025,5.470487345454546e-05,11
42,4.25,0.0015139928250858725,8.011020857617729e-05,19
43,4.3500000000000005,0.0014833851370399998,0.00025075242560000004,10
44,4.45,0.002498195462841716,0.00023561533123224852,26
45,4.55,0.000975337858859375,8.2756173609375e-05,8
46,4.65,0.0018606928009097222,0.00018469962216666668,12
47,4.75,0.0010885135268888886,3.132913888888889e-08,6
48,4.8500000000000005,0.001031063738,1.0450291666666668e-07,6
49,4.95,0.0003687803761388889,9.579805555555539e-09,6
50,5.050000000000001,0.026618500052988523,0.0003135633275446429,56
51,5.15,0.0004433161908888889,1.287326666666667e-07,6
52,5.25,0.0011023296631265432,3.7470503858024693e-06,18
53,5.3500000000000005,0.00122026710084,1.61828929e-06,10
54,5.45,0.0032358554901502773,2.1227807720914125e-05,38
55,5.550000000000001,0.0009504699582212144,0.00939512439471857,63
56,5.65,0.00013321738964060354,0.08193672634813444,27
93,9.35,0.00010066477399999998,0.031973537570609376,8
94,9.450000000000001,1.4738888888888147e-08,0.007175648560888888,3
95,9.55,0.0004339258274400005,0.0005437710857599999,5
96,9.65,0.0,0.0,2
97,9.75,0.0,0.0,2
98,9.850000000000001,0.0034026651166312863,0.3139840391565947,52
99,9.950000000000001,0.00013028915400000026,0.001275524111109375,8
100,10.05,0.0,0.0,2
111,11.15,0.0,0.0,2
112,11.25,0.00365709009876923,0.007368683602745562,26
113,11.350000000000001,0.015900174817714285,0.5840674235545344,28
114,11.450000000000001,1.0898068750001449e-07,0.03926174187068751,8
116,11.65,0.00010203573006172853,0.037429786546015434,18
117,11.75,0.010234645925805556,0.003602505903888889,6
118,11.850000000000001,0.007475296671900826,0.07236911575795248,22
119,11.950000000000001,0.011493861613805553,0.004319463962472222,6
120,12.05,0.0,0.0,2
131,13.15,7.808256875000169e-07,0.0077547232335,8
134,13.450000000000001,9.024999999991684e-11,6.344122500000088e-07,2
